priority,primary_area,areas,source_type,file,path,ext,size_mb,pages,note,duplicates,snippet
High,050 Meteorology,050 Meteorology,Training textbook / exam prep,weather_aviation_impact_research_paper.pdf,/Users/rainerkoelle/Downloads/weather_aviation_impact_research_paper.pdf,pdf,0.1,30,Likely directly useful for exam-style concise explanations.,,"Operational Impact of Weather and Climate Change Perturbations on Air Traﬀic and Air Navigation Performance: A Review of Open Meteorological Data Applications Executive Summary Weather and climate perturbations represent critical challenges to aviation operations worldwide, affecting safety, eﬀicien"
High,062 Navigation / Radio Navigation,062 Navigation / Radio Navigation,Training textbook / exam prep,ATPL-JAA-Gen-NAV.pdf,/Users/rainerkoelle/Downloads/ATPL-JAA-Gen-NAV.pdf,pdf,59.5,281,Likely directly useful for exam-style concise explanations.,,"~---- --- PREFACE __________________ _ As the world moves toward a single standard for international pilot licensing, many nations have adopted the syllabi and regulations of the ""Joint Aviation Requirements-Flight Crew Licensing"" (JAR-FCL), the licensing agency of the Joint Aviation Authorities (JA"
High,062 Navigation / Radio Navigation,062 Navigation / Radio Navigation,Training textbook / exam prep,ATPL-NAV-Gen.pdf,/Users/rainerkoelle/Downloads/ATPL-NAV-Gen.pdf,pdf,88.5,576,Likely directly useful for exam-style concise explanations.,,"ATPL GROUND TRAINING SERIES S GENERAL NAVIGATION IntroductionI ii IIntroduction © CAE Oxford Aviation Academy (UK) Limited 2014 All Rights Reserved This text book is to be used only for the purpose of private study by individuals and may not be reproduced in any form or medium, copied, stored in a r"
High,062 Navigation / Radio Navigation,062 Navigation / Radio Navigation,Training textbook / exam prep,ATPL-RadioNav.pdf,/Users/rainerkoelle/Downloads/ATPL-RadioNav.pdf,pdf,36.0,396,Likely directly useful for exam-style concise explanations.,,ATPL GROUND TRAINING SERIES 0 3 6 15 18 21 24 27 3033 RADIO NAVIGATION Introduction I ii IIntroduction © CAE Oxford Aviation Academy (UK) Limited 2014 All Rights Reserved This text book is to be used only for the purpose of private study by individuals and may not be reproduced in any form or medium
High,062 Navigation / Radio Navigation,062 Navigation / Radio Navigation,Training textbook / exam prep,Flightplan (1).pdf,/Users/rainerkoelle/Downloads/Flightplan (1).pdf,pdf,0.0,1,Likely directly useful for exam-style concise explanations.,,ATC Flightplan Homebriefing – Austro Control Email: ais.loww@austrocontrol.at Phone: +43 5 1703 3211 Disclaimer Be aware that the printed flightplan may differ from the actual flightplan. Flightplan status NONE 3 MESSAGE TYPE 7 AIRCRAFT IDENTIFICATION 8 FLIGHT RULES TYPE OF FLIGHT ( FPL - DEAIN - V
High,062 Navigation / Radio Navigation,062 Navigation / Radio Navigation,Training textbook / exam prep,Flightplan (2).pdf,/Users/rainerkoelle/Downloads/Flightplan (2).pdf,pdf,0.0,1,Likely directly useful for exam-style concise explanations.,,ATC Flightplan Homebriefing – Austro Control Email: ais.loww@austrocontrol.at Phone: +43 5 1703 3211 Disclaimer Be aware that the printed flightplan may differ from the actual flightplan. Flightplan status NONE 3 MESSAGE TYPE 7 AIRCRAFT IDENTIFICATION 8 FLIGHT RULES TYPE OF FLIGHT ( FPL - DESOX - V
High,062 Navigation / Radio Navigation,062 Navigation / Radio Navigation,Training textbook / exam prep,Flightplan.pdf,/Users/rainerkoelle/Downloads/Flightplan.pdf,pdf,0.0,1,Likely directly useful for exam-style concise explanations.,,ATC Flightplan Homebriefing – Austro Control Email: ais.loww@austrocontrol.at Phone: +43 5 1703 3211 Disclaimer Be aware that the printed flightplan may differ from the actual flightplan. Flightplan status NONE 3 MESSAGE TYPE 7 AIRCRAFT IDENTIFICATION 8 FLIGHT RULES TYPE OF FLIGHT ( FPL - DEAIN - V
High,062 Navigation / Radio Navigation,062 Navigation / Radio Navigation,Training textbook / exam prep,JAA-RadioNavigation.pdf,/Users/rainerkoelle/Downloads/JAA-RadioNavigation.pdf,pdf,12.8,330,Likely directly useful for exam-style concise explanations.,,"ii These materials are to be used only for the purpose of individual, private study and may not be reproduced in any form or medium, copied, stored in a retrieval system, lent, hired, rented, transmitted, or adapted in whole or in part without the prior written consent of Jeppesen. Copyright in all"
High,062 Navigation / Radio Navigation,062 Navigation / Radio Navigation,Study notes / workbook,PBN_Manual_e4.0.v1 (1).pdf,/Users/rainerkoelle/Downloads/PBN_Manual_e4.0.v1 (1).pdf,pdf,11.4,202,Likely useful for CNS/radio-navigation technical gaps.,PBN_Manual_e4.0.v1.pdf,"A complete reference to PBN and GNSS for General Aviation non-commercial fixed wing pilots using GNSS for IFR Including RNP , RNAV and GNSS 4th Edition (rev 1) Jan 2023 4th Edition Extensively Revised January 2023 Including BIR"
High,062 Navigation / Radio Navigation,062 Navigation / Radio Navigation,Study notes / workbook,PBN_Manual_e4.0.v1.pdf,/Users/rainerkoelle/Downloads/PBN_Manual_e4.0.v1.pdf,pdf,11.4,202,Likely useful for CNS/radio-navigation technical gaps.,PBN_Manual_e4.0.v1 (1).pdf,"A complete reference to PBN and GNSS for General Aviation non-commercial fixed wing pilots using GNSS for IFR Including RNP , RNAV and GNSS 4th Edition (rev 1) Jan 2023 4th Edition Extensively Revised January 2023 Including BIR"
High,090 Communications,090 Communications,Training textbook / exam prep,ATPL-COM.pdf,/Users/rainerkoelle/Downloads/ATPL-COM.pdf,pdf,3.6,164,Likely directly useful for exam-style concise explanations.,,"ATPL GROUND TRAINING SERIES COMMUNICATIONS IntroductionI ii IIntroduction © CAE Oxford Aviation Academy (UK) Limited 2014 All Rights Reserved This text book is to be used only for the purpose of private study by individuals and may not be reproduced in any form or medium, copied, stored in a retriev"
High,Comprehensive / Multi-area,Comprehensive / Multi-area,Training textbook / exam prep,ATPL Theory Summary (1).pdf,/Users/rainerkoelle/Downloads/ATPL Theory Summary (1).pdf,pdf,1.3,60,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,ATPL Theory Summary.pdf,- 1 - Formulas / ATPL theory summary (Rob Groothuis) Index ATPL Page 2 to 2 Handy formulas / guidelines general Page 3 to 14 Formulas all subjects Page 15 to 18 General navigation Page 19 to 26 Meteorology Page 27 to 31 Instrumentation Page 32 to 33 Communications VFR / IFR Page 34 to 34 Mass and ba
High,Comprehensive / Multi-area,Comprehensive / Multi-area,Training textbook / exam prep,ATPL Theory Summary.pdf,/Users/rainerkoelle/Downloads/ATPL Theory Summary.pdf,pdf,1.3,60,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,ATPL Theory Summary (1).pdf,- 1 - Formulas / ATPL theory summary (Rob Groothuis) Index ATPL Page 2 to 2 Handy formulas / guidelines general Page 3 to 14 Formulas all subjects Page 15 to 18 General navigation Page 19 to 26 Meteorology Page 27 to 31 Instrumentation Page 32 to 33 Communications VFR / IFR Page 34 to 34 Mass and ba
High,Comprehensive / Multi-area,Comprehensive / Multi-area,Training textbook / exam prep,EASA-ATPL-Handbook-FreeSample.pdf,/Users/rainerkoelle/Downloads/EASA-ATPL-Handbook-FreeSample.pdf,pdf,9.5,105,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,EASA ATPL Handbook Free Sample
High,Comprehensive / Multi-area,Comprehensive / Multi-area,Training textbook / exam prep,easa-professional-pilot-studies_compress.pdf,/Users/rainerkoelle/Downloads/easa-professional-pilot-studies_compress.pdf,pdf,211.3,2155,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,"EASA Professional Pilot Studies Phil Croucher All the stuff that matters from the ATPL(A) syllabus in one book! INTRODUCTION 0 © Phil Croucher Electrocution Technical Publishers December 14, 2019 EASA Professional Pilot Studies 0-1 INTRODUCTION 0 his book is based on the modular self-study program f"
High,Comprehensive / Multi-area,Comprehensive / Multi-area,Resource,IR-Training-Students-handbook.pdf,/Users/rainerkoelle/Downloads/IR-Training-Students-handbook.pdf,pdf,6.3,75,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,THIS HANDBOOK IS A STUDY AID FOR EXCLUSIVE USE OF ATO ADRIANA AVIATION Created by Dariusz Bartczak darekbartczak@wp.pl WATOROWO 2021 ATO ADRIANA AVIATION INSTRUMENT RATING TRAINING STUDENTS HANDBOOK This Handbook was introduced for use in the ATO ADRIANA AVIATION by the order of Head of Training Ord
High,Comprehensive / Multi-area,Comprehensive / Multi-area,Training textbook / exam prep,PPL-A-20240922.pdf,/Users/rainerkoelle/Downloads/PPL-A-20240922.pdf,pdf,0.5,1,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,
High,Comprehensive / Multi-area,Comprehensive / Multi-area,Training textbook / exam prep,PPL-EASA.pdf,/Users/rainerkoelle/Downloads/PPL-EASA.pdf,pdf,0.4,1,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,
High,Comprehensive / Multi-area,Comprehensive / Multi-area; 040 Human Performance; 050 Meteorology; 062 Navigation / Radio Navigation,Training textbook / exam prep,Volume 11 Radar V13.2.pdf,/Users/rainerkoelle/Downloads/Volume 11 Radar V13.2.pdf,pdf,1.8,129,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,AP3456 Volume 11– Radar Page 1 of 1 AP3456 The Central Flying School (CFS) Manual of Flying Volume 11 Radar Ch 1 Introduction to Radar Ch 2 Pulse Radar Ch 3 Anti Clutter and Noise Techniques Ch 4 Continuous Wave Radar Ch 5 Pulse Doppler Radar and Moving Target Indicator (MTI) Ch 6 Tracking Radar Ch
High,Comprehensive / Multi-area,Comprehensive / Multi-area; 033 Flight Planning; 040 Human Performance; 050 Meteorology,Study notes / workbook,Volume 12 Helicopters V13.2.pdf,/Users/rainerkoelle/Downloads/Volume 12 Helicopters V13.2.pdf,pdf,2.7,201,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,AP3456 Volume 12 –Helicopters Page 1 of 1 AP3456 The Central Flying School (CFS) Manual of Flying Volume 12 Helicopters Ch 1 Rotor Aerodynamics and Control Ch 2 Hovering and Horizontal Movement Ch 3 Control in Forward Flight Ch 4 Autorotation Ch 5 Hazardous Conditions and Recovery Action Ch 6 Helico
High,Comprehensive / Multi-area,Comprehensive / Multi-area; 022 Instrumentation / Avionics; 040 Human Performance,Study notes / workbook,Volume 13 Maths and Physics V13.2.pdf,/Users/rainerkoelle/Downloads/Volume 13 Maths and Physics V13.2.pdf,pdf,3.6,308,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,AP3456 Volume 13 –Maths and Physics Page 1 of 2 AP3456 The Central Flying School (CFS) Manual of Flying Volume 13 Maths and Physics Ch 1 Fractions and Decimals Ch 2 Percentages and Proportions Ch 3 Averages Ch 4 Basic vector Processes Ch 5 Indicies and Logarithms Ch 6 Graphs Ch 7 Unit Conversions Ch
High,Comprehensive / Multi-area,Comprehensive / Multi-area,Resource,Volume_01_Principles_of_Flight.pdf,/Users/rainerkoelle/Downloads/Volume_01_Principles_of_Flight.pdf,pdf,3.0,303,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,AP3456 - 1-1 - The Atmosphere Revised Mar 12 Page 1 of 8 CHAPTER 1 - THE ATMOSPHERE Introduction 1. The atmosphere is the term given to the layer of air which surrounds the Earth and extends upwards from the surface to about 500 miles. The flight of all objects using fixed or moving wings to sustain
High,Comprehensive / Multi-area,Comprehensive / Multi-area,Training textbook / exam prep,Volume_02_Aircraft_Performance.pdf,/Users/rainerkoelle/Downloads/Volume_02_Aircraft_Performance.pdf,pdf,2.3,121,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,AP3456 - 2-1 - The Effect of Variation in Specific Gravity of Fuels on Range and Endurance CHAPTER 1 - THE EFFECT OF VARIATION IN SPECIFIC GRAVITY OF FUELS ON RANGE AND ENDURANCE Introduction 1. Fuels in current Service use are permitted to have a wide variation in specific gravity (SG) in order to
High,Comprehensive / Multi-area,Comprehensive / Multi-area,Resource,Volume_03_Propulsion.pdf,/Users/rainerkoelle/Downloads/Volume_03_Propulsion.pdf,pdf,4.8,184,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,"AP3456 – 3-1 - Basic Theory and Principles of Propulsion Revised May 10 Page 1 of 8 CHAPTER 1 - BASIC THEORY AND PRINCIPLES OF PROPULSION Introduction 1. When an aircraft is travelling through air in straight and level flight and at a constant true airspeed (TAS), the engines must produce a total th"
High,Comprehensive / Multi-area,Comprehensive / Multi-area,Training textbook / exam prep,Volume_04_Aircraft_Systems.pdf,/Users/rainerkoelle/Downloads/Volume_04_Aircraft_Systems.pdf,pdf,2.4,107,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,"AP3456 – 4-1- Hydraulic Systems Revised Jun 10 Page 1 of 10 CHAPTER 1 - HYDRAULIC SYSTEMS Introduction 1. Hydraulic power has unique characteristics which influence its selection to power aircraft systems instead of electrics and pneumatics, the other available secondary power systems. The advantage"
High,Comprehensive / Multi-area,Comprehensive / Multi-area; 022 Instrumentation / Avionics,Resource,Volume_05_Flight_Instruments.pdf,/Users/rainerkoelle/Downloads/Volume_05_Flight_Instruments.pdf,pdf,4.0,197,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,AP3456 – 5-1 - Introduction to Barometric Height Measurement Revised Mar 12 Page 1 of 4 CHAPTER 1 - INTRODUCTION TO BAROMETRIC HEIGHT MEASUREMENT Introduction 1. The atmospheric pressure at a point on the Earth’s surface is equivalent to the weight of the whole column of air standing on the area of
High,Comprehensive / Multi-area,Comprehensive / Multi-area; 040 Human Performance,Resource,Volume_06_Aviation_Medicine.pdf,/Users/rainerkoelle/Downloads/Volume_06_Aviation_Medicine.pdf,pdf,1.7,165,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,"AP3456 - 6-1 - Human Performance Revised Jul 10 Page 1 of 11 CHAPTER 1 - HUMAN PERFORMANCE Introduction 1. The investigation and study of error has received more attention in aviation than in many other domains, and part of the explanation probably lies in the fact that aviation accidents tend to be"
High,Comprehensive / Multi-area,Comprehensive / Multi-area; 022 Instrumentation / Avionics,Resource,Volume_07_Avionics.pdf,/Users/rainerkoelle/Downloads/Volume_07_Avionics.pdf,pdf,3.2,215,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,"AP3456 – 7-1 - LF, MF and HF Communications Revised Jun 10 Page 1 of 3 CHAPTER 1 - LF, MF AND HF COMMUNICATIONS Introduction 1. This chapter describes the installation and operation of a typical HF communications system and briefly mentions the uses of MF and LF systems. Typical HF Installation 2. F"
High,Comprehensive / Multi-area,Comprehensive / Multi-area,Authority handbook / public training reference,Volume_08_Aircraft_Operations.pdf,/Users/rainerkoelle/Downloads/Volume_08_Aircraft_Operations.pdf,pdf,4.1,320,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,"AP3456 – 8-1 - General Meteorology Revised Aug 14 Page 1 of 31 CHAPTER 1 - GENERAL METEOROLOGY Introduction 1. Weather can be described as the state of the atmosphere at a given time and place, with respect to temperature, moisture, visibility, pressure and wind velocity. It can have a significant e"
High,Comprehensive / Multi-area,Comprehensive / Multi-area; 062 Navigation / Radio Navigation,Resource,Volume_09_Navigation.pdf,/Users/rainerkoelle/Downloads/Volume_09_Navigation.pdf,pdf,6.6,270,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,"AP3456 - 9-1 - The Earth, Distance and Direction Revised Jul 10 Page 1 of 10 CHAPTER 1 - THE EARTH, DISTANCE, AND DIRECTION THE EARTH The Form of The Earth 1. For most navigational purposes the Earth is assumed to be a perfect sphere, although in reality it is not. For many centuries man has been co"
High,Comprehensive / Multi-area,Comprehensive / Multi-area; 050 Meteorology,Resource,Volume_10_Meteorology__CFS_version_.pdf,/Users/rainerkoelle/Downloads/Volume_10_Meteorology__CFS_version_.pdf,pdf,1.9,97,Likely broad reference; useful for filling multiple gaps and cross-checking terminology.,,"AP3456 -– The Atmosphere Original May 17 Page 1 of 12 10-1-THE ATMOSPHERE Introduction 1. Weather can be described as the state of the atmosphere at a given time and place, with respect to temperature, moisture, visibility, pressure and wind velocity. It can have a significant effect on aircraft per"
High,Other aviation / support,Other aviation / support,Training textbook / exam prep,aviation-identification-application-form-499.pdf,/Users/rainerkoelle/Downloads/aviation-identification-application-form-499.pdf,pdf,0.3,6,Likely directly useful for exam-style concise explanations.,,Civil Aviation Safety Authority Aviation Identification (AVID) | Form 499 | V 5 | CASA-04-4613 | 09/2023 Page 1 of 6 Application Aviation Identification (AVID) (Aviation Security Status Check) Initial issue or renewal Reg 6.56 Aviation Transport Security Regulations 2005 Download this form before yo
High,Other aviation / support,Other aviation / support,Resource,BIR-M01-RainerKoelle.pdf,/Users/rainerkoelle/Downloads/BIR-M01-RainerKoelle.pdf,pdf,1.0,,Potential support resource; inspect before using for gap fill.,,
High,Other aviation / support,Other aviation / support,Resource,BIR_Learning_Objectives.csv,/Users/rainerkoelle/Downloads/BIR_Learning_Objectives.csv,csv,0.4,,Potential support resource; inspect before using for gap fill.,,
High,Other aviation / support,Other aviation / support,Resource,BIR_Learning_Objectives.xlsx,/Users/rainerkoelle/Downloads/BIR_Learning_Objectives.xlsx,xlsx,0.1,,Potential support resource; inspect before using for gap fill.,,
High,Other aviation / support,Other aviation / support,Authority handbook / public training reference,CAAT - coop agreement - benchmarking appendix - Attendance report 8-06-24.csv,/Users/rainerkoelle/Downloads/CAAT - coop agreement - benchmarking appendix - Attendance report 8-06-24.csv,csv,0.0,,Good public cross-check source; adapt to EASA terminology where needed.,,
High,Other aviation / support,Other aviation / support,Authority handbook / public training reference,FAA-H-8083-16B.pdf,/Users/rainerkoelle/Downloads/FAA-H-8083-16B.pdf,pdf,35.3,312,Good public cross-check source; adapt to EASA terminology where needed.,,
Medium,010 Air Law / ATC,010 Air Law / ATC; 033 Flight Planning; 040 Human Performance,Study notes / workbook,Aerodynamics_Workbook-CH6.pdf,/Users/rainerkoelle/Downloads/Aerodynamics_Workbook-CH6.pdf,pdf,0.9,50,Potential support resource; inspect before using for gap fill.,,Version 09/19/11 1 Copyright Lance Sherry 2010 Aircraft Performance This workbook provides an understanding of how a heavier than air vehicle is able to generate lift and sustain flight. This understanding is generated by understanding the atmosphere in which an aircraft flies (Section 1 The Atmosph
Medium,010 Air Law / ATC,010 Air Law / ATC; 022 Instrumentation / Avionics; 033 Flight Planning; 040 Human Performance,Regulatory / syllabus reference,Annex II to ED Decision 2016-008-R (1).pdf,/Users/rainerkoelle/Downloads/Annex II to ED Decision 2016-008-R (1).pdf,pdf,6.4,551,Use for validation and exact wording; not always ideal for aide-memoire prose.,Annex II to ED Decision 2016-008-R.pdf,"Annex II to ED Decision 2016/008/R Page 1 of 551 Acceptable Means of Compliance and Guidance Material to Part-FCL (Learning Objectives (LOs)) — Amendment 2 Points AMC1 FCL.310, FCL.515(b) and FCL.615(b) are amended as follows: AMC1 FCL.310; FCL.515(b); FCL.615(b) Introductory text and all tables in"
Medium,010 Air Law / ATC,010 Air Law / ATC; 022 Instrumentation / Avionics; 033 Flight Planning; 040 Human Performance,Regulatory / syllabus reference,Annex II to ED Decision 2016-008-R.pdf,/Users/rainerkoelle/Downloads/Annex II to ED Decision 2016-008-R.pdf,pdf,6.4,551,Use for validation and exact wording; not always ideal for aide-memoire prose.,Annex II to ED Decision 2016-008-R (1).pdf,"Annex II to ED Decision 2016/008/R Page 1 of 551 Acceptable Means of Compliance and Guidance Material to Part-FCL (Learning Objectives (LOs)) — Amendment 2 Points AMC1 FCL.310, FCL.515(b) and FCL.615(b) are amended as follows: AMC1 FCL.310; FCL.515(b); FCL.615(b) Introductory text and all tables in"
Medium,010 Air Law / ATC,010 Air Law / ATC; 033 Flight Planning,Regulatory / syllabus reference,annex3_performance_ratios_2023.csv,/Users/rainerkoelle/Downloads/annex3_performance_ratios_2023.csv,csv,0.0,,Use for validation and exact wording; not always ideal for aide-memoire prose.,,
Medium,010 Air Law / ATC,010 Air Law / ATC,Regulatory / syllabus reference,annex5_table01_total_ans_revenues_2023.csv,/Users/rainerkoelle/Downloads/annex5_table01_total_ans_revenues_2023.csv,csv,0.0,,Use for validation and exact wording; not always ideal for aide-memoire prose.,,
Medium,010 Air Law / ATC,010 Air Law / ATC,Regulatory / syllabus reference,annex5_table02_gate_to_gate_costs_2023.csv,/Users/rainerkoelle/Downloads/annex5_table02_gate_to_gate_costs_2023.csv,csv,0.0,,Use for validation and exact wording; not always ideal for aide-memoire prose.,,
Medium,010 Air Law / ATC,010 Air Law / ATC,Regulatory / syllabus reference,annex5_table03_atm_cns_cost_breakdown_2023.csv,/Users/rainerkoelle/Downloads/annex5_table03_atm_cns_cost_breakdown_2023.csv,csv,0.0,,Use for validation and exact wording; not always ideal for aide-memoire prose.,,
Medium,010 Air Law / ATC,010 Air Law / ATC; 033 Flight Planning,Regulatory / syllabus reference,annex5_table04_balance_sheet_2023.csv,/Users/rainerkoelle/Downloads/annex5_table04_balance_sheet_2023.csv,csv,0.0,,Use for validation and exact wording; not always ideal for aide-memoire prose.,,
Medium,010 Air Law / ATC,010 Air Law / ATC,Regulatory / syllabus reference,Annexes_ACI EUROPE Connectivity Report 2022.xlsx,/Users/rainerkoelle/Downloads/Annexes_ACI EUROPE Connectivity Report 2022.xlsx,xlsx,0.2,,Use for validation and exact wording; not always ideal for aide-memoire prose.,,
Medium,010 Air Law / ATC,010 Air Law / ATC,Regulatory / syllabus reference,ECQB-sample-annexes-v2.pdf,/Users/rainerkoelle/Downloads/ECQB-sample-annexes-v2.pdf,pdf,18.4,,Use for validation and exact wording; not always ideal for aide-memoire prose.,,
Medium,010 Air Law / ATC,010 Air Law / ATC,Resource,operations.csv,/Users/rainerkoelle/Downloads/operations.csv,csv,75.2,,Potential support resource; inspect before using for gap fill.,,
Medium,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Resource,Aircraft Gyroscopic Instruments.pdf,/Users/rainerkoelle/Downloads/Aircraft Gyroscopic Instruments.pdf,pdf,1.5,6,Potential support resource; inspect before using for gap fill.,,"HOME AIRFRAME POWERPLANT GENERAL MAINTENANCE QUESTION BANK AVIATION GLOSSARY HANDBOOKS VIDEOS SPONSORSHIP HomeInstrument System Aircraft Gyroscopic Instruments F in a n c e f o r 0 $ 1 ,0 0 0 V o lk s fe s t B o n u s C a s h 3 1 2 Y e a rs P re p a id M a in te n a n c e ^ % fo r u p to 2 4 m o n"
Medium,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Resource,Gyroscopic Instruments - 3 Essential Instruments and How They Work - Pilot Institute.pdf,/Users/rainerkoelle/Downloads/Gyroscopic Instruments - 3 Essential Instruments and How They Work - Pilot Institute.pdf,pdf,2.9,9,Potential support resource; inspect before using for gap fill.,,"It should come as no surprise that ﬂight instruments are vitally important.However, a lot is going on behind the scenes. Gyroscopes are a scientiﬁcwonder, and their properties can be utilized to great effect in airplanegyroscopic instruments. Contrary to popular belief, gyroscopes are pretty easyto"
Medium,022 Instrumentation / Avionics,022 Instrumentation / Avionics,Resource,Gyroscopic Instruments _ Study Aircrafts.pdf,/Users/rainerkoelle/Downloads/Gyroscopic Instruments _ Study Aircrafts.pdf,pdf,5.9,12,Potential support resource; inspect before using for gap fill.,,Gyroscopic Instruments IntroductionGyroscopic instruments are of great importance in aircraft navigation because of their ability to maintain a constantspatial reference and thereby provide indication of the aircraft's attitude. The principal instruments that use theproperties of the gyroscope are t
Medium,022 Instrumentation / Avionics,022 Instrumentation / Avionics; 062 Navigation / Radio Navigation,Resource,Pilots_Course_Registration_Form_2021.1.pdf,/Users/rainerkoelle/Downloads/Pilots_Course_Registration_Form_2021.1.pdf,pdf,0.5,4,Likely useful for CNS/radio-navigation technical gaps.,,"1 PILOT COURSE REGISTRATION FORM Type of Course Class Rating SEP (land) DA40 NG MEP (land) DA42 NG/-VI MEP (land) DA62 DA42 NG/-VIDA40 NG G1000 Course required CRI MEP (land) DA62CRI MEP (land) DA42 NG/-VI Instrument Rating Instructor / IRI ME-IR Extension DA62 PBN Instructor Rating* Refresher-, Rec"
Medium,033 Flight Planning,033 Flight Planning; 040 Human Performance; 090 Communications,Resource,Aircraft-fuel-burn-trends-sept2020.pdf,/Users/rainerkoelle/Downloads/Aircraft-fuel-burn-trends-sept2020.pdf,pdf,0.6,25,Potential support resource; inspect before using for gap fill.,,"SEPTEMBER 2020 WHITE PAPER FUEL BURN OF NEW COMMERCIAL JET AIRCRAFT: 1960 TO 2019 Xinyi Sola Zheng Dan Rutherford, Ph.D. BEIJING | BERLIN | SAN FRANCISCO | SÃO PAULO | WASHINGTON www.theicct.org communications@theicct.org twitter @theicct ACKNOWLEDGMENTS The authors thank Brandon Graver and Jennifer"
Medium,033 Flight Planning,033 Flight Planning,Resource,flightplanning.pdf,/Users/rainerkoelle/Downloads/flightplanning.pdf,pdf,0.1,2,Potential support resource; inspect before using for gap fill.,,"033 Flight Planning and Monitoring 033-02 Flight Planning for IFR Flights MOC value in primary enroute: +1000 ft, 900-1500m terrain variation +1500ft, more terrain +2000ft Chart alt suffixes .. a=MORA, T=MOCA, HF, use lower frequencies at night, max range up to 2000nm 033-03 Fuel Planning 033-03-02"
Medium,033 Flight Planning,033 Flight Planning; 040 Human Performance,Resource,FlightReleaseFormV2.0DA40NG (1).pdf,/Users/rainerkoelle/Downloads/FlightReleaseFormV2.0DA40NG (1).pdf,pdf,1.6,3,Potential support resource; inspect before using for gap fill.,,"DA40NG D-ENGJ Flight Release Form V2.0 – 20/09/2020 Page 1 of 3 Flight Data D-ENGJ Date ETD Due back time Instructor Student 1 Student 2 Flightplan Y/N Fuel on Board VFR/IFR Dual Mission Route Weight & Balance Data: Item Weight (kg) Arm (m) Moment (kg x m) Basic Empty Weight 937,7 2,44 2286,1 Pilot"
Medium,033 Flight Planning,033 Flight Planning,Resource,fuel burn paper summary.docx,/Users/rainerkoelle/Downloads/fuel burn paper summary.docx,docx,0.0,,Potential support resource; inspect before using for gap fill.,,
Medium,033 Flight Planning,033 Flight Planning,Resource,Fuel_Burn_Method_Assessment_Using_Automatic_Depend (1).pdf,/Users/rainerkoelle/Downloads/Fuel_Burn_Method_Assessment_Using_Automatic_Depend (1).pdf,pdf,12.3,28,Potential support resource; inspect before using for gap fill.,,"Citation: Krajˇ cek Nikoli´ c, K.; Papoˇ ci, P .; Nikoli´ c, D.; Antulov-Fantulin, B. Fuel Burn Method Assessment Using Automatic Dependent Surveillance–Broadcast and European Reanalysis Data: Limited Flight Sample Analysis. Aerospace 2024, 11, 154. https://doi.org/10.3390/ aerospace11020154 Academi"
Medium,033 Flight Planning,033 Flight Planning,Resource,Fuel_Burn_Method_Assessment_Using_Automatic_Depend.pdf,/Users/rainerkoelle/Downloads/Fuel_Burn_Method_Assessment_Using_Automatic_Depend.pdf,pdf,12.3,28,Potential support resource; inspect before using for gap fill.,,"Citation: Krajˇ cek Nikoli´ c, K.; Papoˇ ci, P .; Nikoli´ c, D.; Antulov-Fantulin, B. Fuel Burn Method Assessment Using Automatic Dependent Surveillance–Broadcast and European Reanalysis Data: Limited Flight Sample Analysis. Aerospace 2024, 11, 154. https://doi.org/10.3390/ aerospace11020154 Academi"
Medium,033 Flight Planning,033 Flight Planning; 040 Human Performance,Resource,Fuel_Estimation_in_Air_Transportation_Modeling_glo.pdf,/Users/rainerkoelle/Downloads/Fuel_Estimation_in_Air_Transportation_Modeling_glo.pdf,pdf,2.3,16,Potential support resource; inspect before using for gap fill.,,"Contents lists available at ScienceDirect Transportation Research Part D journal homepage: www.elsevier.com/locate/trd Fuel Estimation in Air Transportation: Modeling global fuel consumption for commercial aviation K. Seymour ⁎,1, M. Held ⁎,1, G. Georges, K. Boulouchos ETH Zürich (Swiss Federal Inst"
Medium,033 Flight Planning,033 Flight Planning,Resource,Fuelburn-Engine-Examples.docx,/Users/rainerkoelle/Downloads/Fuelburn-Engine-Examples.docx,docx,0.0,,Potential support resource; inspect before using for gap fill.,,
